Algoritmo,Otimizador,Tempo_Total_s,Melhores_Params,TEST_Accuracy,TEST_F1,TEST_Recall,TEST_Precision,TEST_AUC,Cenario
MLP,GridSearch,51.0,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': '(50, 50)', 'learning_rate': 'constant'}",0.65,0.7482014388489209,0.7428571428571429,0.7536231884057971,0.6341666666666667,PCA
MLP,RandomSearch,45.1,"{'learning_rate': 'adaptive', 'hidden_layer_sizes': '(50, 50)', 'alpha': 0.0001, 'activation': 'tanh'}",0.65,0.7482014388489209,0.7428571428571429,0.7536231884057971,0.6341666666666667,PCA
MLP,Bayesiana,21.2,"OrderedDict([('activation', 'relu'), ('alpha', 0.05), ('hidden_layer_sizes', '(50, 50)'), ('learning_rate', 'constant')])",0.645,0.7237354085603113,0.6642857142857143,0.7948717948717948,0.6746428571428571,PCA
MLP,Genetica,80.96,"{'hidden_layer_sizes': '(50, 50)', 'activation': 'tanh', 'alpha': 0.0001, 'learning_rate': 'adaptive'}",0.65,0.7482014388489209,0.7428571428571429,0.7536231884057971,0.6341666666666667,PCA
RF,GridSearch,11.25,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 50}",0.68,0.7664233576642335,0.75,0.7835820895522388,0.652857142857143,PCA
RF,RandomSearch,1.66,"{'n_estimators': 50, 'min_samples_split': 2, 'max_depth': 20, 'criterion': 'gini'}",0.68,0.7664233576642335,0.75,0.7835820895522388,0.652857142857143,PCA
RF,Bayesiana,4.71,"OrderedDict([('criterion', 'gini'), ('max_depth', 30), ('min_samples_split', 2), ('n_estimators', 100)])",0.67,0.7555555555555555,0.7285714285714285,0.7846153846153846,0.6492261904761906,PCA
RF,Genetica,11.73,"{'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 2, 'criterion': 'gini'}",0.67,0.7555555555555555,0.7285714285714285,0.7846153846153846,0.6492261904761906,PCA
KNN,GridSearch,0.12,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.58,0.6888888888888889,0.6642857142857143,0.7153846153846154,0.575595238095238,PCA
KNN,RandomSearch,0.06,"{'weights': 'distance', 'n_neighbors': 3, 'metric': 'manhattan'}",0.58,0.6888888888888889,0.6642857142857143,0.7153846153846154,0.575595238095238,PCA
KNN,Bayesiana,0.5,"OrderedDict([('metric', 'manhattan'), ('n_neighbors', 3), ('weights', 'distance')])",0.58,0.6888888888888889,0.6642857142857143,0.7153846153846154,0.575595238095238,PCA
KNN,Genetica,0.44,"{'n_neighbors': 3, 'weights': 'distance', 'metric': 'manhattan'}",0.58,0.6888888888888889,0.6642857142857143,0.7153846153846154,0.575595238095238,PCA
SVM,GridSearch,2.55,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.595,0.6693877551020408,0.5857142857142857,0.780952380952381,0.6864285714285714,PCA
SVM,RandomSearch,1.24,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 0.1}",0.62,0.6910569105691057,0.6071428571428571,0.8018867924528302,0.6875,PCA
SVM,Bayesiana,3.76,"OrderedDict([('C', 100), ('gamma', 'auto'), ('kernel', 'rbf')])",0.615,0.6804979253112033,0.5857142857142857,0.8118811881188119,0.714047619047619,PCA
SVM,Genetica,3.98,"{'C': 0.1, 'kernel': 'rbf', 'gamma': 'auto'}",0.595,0.6693877551020408,0.5857142857142857,0.780952380952381,0.6864285714285714,PCA
MLP,GridSearch,56.01,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': '(100,)', 'learning_rate': 'constant'}",0.705,0.7854545454545454,0.7714285714285715,0.8,0.7128571428571429,Original
MLP,RandomSearch,32.02,"{'learning_rate': 'constant', 'hidden_layer_sizes': '(100,)', 'alpha': 0.05, 'activation': 'tanh'}",0.705,0.7854545454545454,0.7714285714285715,0.8,0.7128571428571429,Original
MLP,Bayesiana,47.69,"OrderedDict([('activation', 'tanh'), ('alpha', 0.05), ('hidden_layer_sizes', '(50, 50)'), ('learning_rate', 'constant')])",0.69,0.7753623188405797,0.7642857142857142,0.7867647058823529,0.7267857142857144,Original
MLP,Genetica,101.56,"{'hidden_layer_sizes': '(100,)', 'activation': 'tanh', 'alpha': 0.05, 'learning_rate': 'constant'}",0.705,0.7854545454545454,0.7714285714285715,0.8,0.7128571428571429,Original
RF,GridSearch,9.59,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}",0.745,0.8197879858657244,0.8285714285714286,0.8111888111888111,0.7521428571428572,Original
RF,RandomSearch,1.67,"{'n_estimators': 100, 'min_samples_split': 2, 'max_depth': 30, 'criterion': 'gini'}",0.745,0.8197879858657244,0.8285714285714286,0.8111888111888111,0.7510714285714285,Original
RF,Bayesiana,3.67,"OrderedDict([('criterion', 'gini'), ('max_depth', 30), ('min_samples_split', 2), ('n_estimators', 100)])",0.745,0.8197879858657244,0.8285714285714286,0.8111888111888111,0.7510714285714285,Original
RF,Genetica,12.8,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'criterion': 'gini'}",0.745,0.8197879858657244,0.8285714285714286,0.8111888111888111,0.7521428571428572,Original
KNN,GridSearch,0.28,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.64,0.7272727272727273,0.6857142857142857,0.7741935483870968,0.682202380952381,Original
KNN,RandomSearch,0.09,"{'weights': 'distance', 'n_neighbors': 3, 'metric': 'manhattan'}",0.64,0.7272727272727273,0.6857142857142857,0.7741935483870968,0.682202380952381,Original
KNN,Bayesiana,0.79,"OrderedDict([('metric', 'manhattan'), ('n_neighbors', 3), ('weights', 'distance')])",0.64,0.7272727272727273,0.6857142857142857,0.7741935483870968,0.682202380952381,Original
KNN,Genetica,0.78,"{'n_neighbors': 3, 'weights': 'distance', 'metric': 'manhattan'}",0.64,0.7272727272727273,0.6857142857142857,0.7741935483870968,0.682202380952381,Original
SVM,GridSearch,2.22,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.725,0.7955390334572491,0.7642857142857142,0.8294573643410853,0.755,Original
SVM,RandomSearch,1.38,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 100}",0.68,0.7593984962406015,0.7214285714285714,0.8015873015873016,0.7004761904761906,Original
SVM,Bayesiana,3.09,"OrderedDict([('C', 100), ('gamma', 'auto'), ('kernel', 'rbf')])",0.72,0.7910447761194029,0.7571428571428571,0.828125,0.7391666666666667,Original
SVM,Genetica,4.49,"{'C': 10, 'kernel': 'rbf', 'gamma': 'scale'}",0.725,0.7955390334572491,0.7642857142857142,0.8294573643410853,0.755,Original
